places,state,type,rating,description,best_time_to_visit,avg_accommodation_cost/day(Rs)
Hajipur,bihar,Historical,4.4,"Hajipur is one of those cities of India which has connected the past and the present in a smooth transition over the years. Though scarce and scattered, Hajipur keeps coming back in the pages of Indian history - be it the time of Lord Buddha or the rule of Islam or the British era, in some way or ot...",October to March,3118.42
Muzaffarpur,bihar,Historical,3.7,"The Litchi Kingdom, Muzaffarpur is located in the north of Bihar. Lying on the banks of Burhi Gandak River, along with the rivers Bagmati and Lakhandayee, Muzaffarpur is one of the major towns of Bihar. Being the administrative headquarter of the Muzaffarpur district, the city is a hub for education...",July to March,2328.49
Lauriya Nandangarh,bihar,Historical,4.3,"Lauriya Nandangarh is a small town situated 28 km northwest of Bettiah famous for its beautifully erected Ashokan Pillar. Lauriya gets its name from a pillar (Laur) of Mauryan emperor Ashoka, which is sited here. Nandangarh is the name of a bank, located about 2 km to the south-west of the Ashoka Pi...",October to Apr,3118.42
Chhat Puja,bihar,Religious,4.5,"An ancient Hindu festival, dedicated to Lord Surya and Chhathi Maiya (known to be the wife of Surya), Chhath Puja is the only Vedic festival that is dedicated to the Sun God, who is supposed to be the source of all powers and Chhathi Maiya (another name for Goddess Usha from the Vedic period). The g...","September to December, February to March",3229.855
Tomb of Sher Shah Suri,bihar,Historical,3.9,"Situated in the town Sasaram in the state of Bihar in India, Tomb of Sher Shah Suri is a stunning mausoleum which has been dedicated to the memory of Emperor Sher Shah Suri. Boasting of Indo- Islamic architecture, the tomb is one of the most popular tourist spots in town and is also known as the ‘Se...",October to March,3118.42
Navlakha Palace,bihar,Historical,4.3,"Situated in Rajnagar on the eastern bank of River Kamla, near Madhubani district of Bihar, Navlakha Palace, also known as Rajnagar Palace, is an ancient royal palace which is a popular heritage building in the region. Built by Maharaja Rameshwar Singh, the palace formerly boasted of well paved garde...",October to March,3118.42
Jal Mandir,bihar,Religious,3.7,"Located in Pawapuri in the state of Bihar, Jal Mandir is a revered Jain temple which is dedicated to the 24th Tirthankara- Lord Mahavir. Also known as Apapuri, the gorgeous white marble temple marks the cremation spot of Lord Mahavir and is a sacred pilgrimage centre of Jainism. The gorgeous temple ...",October to March,3229.855
Mundeshwari Temple,bihar,Religious,4.4,"The Mundeshwari Devi Temple lies within the Kaimur district of Bihar. It is an ancient temple dedicated to worshipping the eternal duo of Shiva-Parvati. It is considered as one of the oldest temples in India, perhaps being as old as 625 CE. Built of stone, the temple architecture follows a rare octa...",October to March,3229.855
Fort Aguada,goa,Historical,4.3,Fort Aguada is a 17th-century Portuguese fort looking out at the confluence of Mandovi River and the Arabian Sea. The crumbling ramparts of the fort stand on the Sinquerim Beach. The highlight of the fort is a lone four-storey lighthouse (which is one-of-its-kind in Asia) and a stunning view of the sunset.,November to February,3118.42
Cruise in Goa,goa,Beach,3.7,"Cruise in Goa allows one to explore the exotic scenery, pristine waters and marvel the breathtaking view of the sunset. There are several types of cruises in Goa ranging from simple evening cruises, elaborate and romantic dinner cruises, backwater cruises, and casino cruises. All of these usually originate from Miramar Beach in Panjim.",October to June,3474.9
Water Sports in Goa,goa,Adventure,3.5,"Goa is a haven for water sports like kneeboarding, kite surfing, snorkelling, parasailing, paragliding, diving, and kayaking. The water sports in Goa can be enjoyed at any one of the beaches in the north or the south. You can also engage in your favorite activities through a number of licensed water sports package operators.",October to June,3797.06
Dudhsagar Falls,goa,Adventure,3.7,"One of India's tallest waterfalls, the Dudhsagar Falls is located inside the Mollem National Park. The Dudhsagar falls should be visited during the monsoon when it is in full flow and the surrounding deciduous forests are at their verdant best.",October to June,3797.06
Chapora Fort,goa,Historical,4.4,"Chapora Fort is undeniably one of the most famous forts in Goa. More popularly known as the 'Dil Chahta Hai Fort', its claim to fame was the 2001 Bollywood blockbuster shot here. A scintillating escape, it offers beautiful views of the sea and Chapora River.",October to June,3118.42
Thalassa,goa,Beach,3.7,"Thalassa- The Greek Taverna is one of the most popular restaurants in Goa. Having moved out to the backwaters along with Siolim (from its prior location of Vagator hilltop), it is famous for its signature cocktails and sunsets. Reverberating with the cultural flavour of Greece, it serves authentic Greek Mediterranean cuisine.",Mid May to Mid Oct,3474.9
Divar Island,goa,Beach,4.4,"Divar Island is a slice of heaven tucked away in dense woods amidst the beauty of nature. Connected to Old Goa only through ferry service, this island is synonymous with natural beauty, serenity and tranquillity.",Throughout the year,3474.9
Scuba Diving in Goa,goa,Adventure,3.3,"Goa is one of the few places in India offering scuba diving. Diving in Goa is not the best owing to limited underwater visibility, but it is still popular among tourists as it is a good destination for beginners to explore the delights of the underwater world. The absence of strong water current with occasional surges adds serenity to the activity.",March - May; September - November,3797.06
Dona Paula,goa,Beach,3.9,"Dona Paula is one of the most popular tourist hangouts in Goa famous for its vast stretch of beach. The small beach is also popular as the Lover's Paradise and features a jetty (Dona Paula Jetty) adjacent to it, which provides an ethereal view of the Arabian Sea and Mormugao harbour.",March - June; September - November,3474.9
Vagator Beach,goa,Beach,3.0,"Vagator beach is one of the most beautiful beaches in Goa. It is famous for its soft white sands and imposing but beautiful rocky cliffs. The beach is divided into two major parts, namely Little Vagator, also known as Ozran Beach, and Big Vagator. It is also popular for its sweeping panoramic views, beach shacks and trance parties.",May to September,3474.9
Fontainhas and Sao Tome,goa,Historical,3.4,Fontainhas and Sao Tome is a beautiful Latin Quarter located in Panaji on the banks of the Ourem Creek and named after the natural springs nearby. It was laid out on a piece of land acquired by a Goan in the 18th century who had made a fortune in Mozambique. The quarter is now recognised as a heritage site and is famous for its charming Portuguese style houses on the base of the Altinho hills.,October to May,3118.42
Church of Our Lady of the Immaculate Conception,goa,Religious,3.4,"Located in Panjim, Our Lady of Immaculate Conception is one of the oldest chapels in Goa. It is known to house the second largest church bells in Goa. The view of the sunset and the church lit up at night is a soothing sight to witness.",October to June,3229.855
Tito's Nightclub,goa,Beach,3.4,"Titos nightclub is one of the top things to do in Goa for most tourists. Located in Calangute, Tito's is one of the most famous nightclubs in Goa. The entire lane in Baga, where the pub is located is popularly called Tito lane.",Throughout the year,3474.9
Brittos,goa,Beach,3.4,"Be it during the season or off-season, you cannot NOT come here if you're in Goa. It is amongst the best shacks in Baga Beach and is just perfect if you're seeking the company of the sea and the sand while you sip on that beer.",November to March,3474.9
Mambos,goa,Beach,3.0,"Located in the famous Titos lane, Mambos is a popular nightclub in Goa. The open-air lounge encircles a dancing area with a host of Indian and international DJs playing every night. They also serve a variety of Hookahs.",Throughout the year,3474.9
Club LPK - Love Passion Karma,goa,Beach,4.1,"Club LPK is one of the most popular nightlife spots in Goa. Surrounded by water on three sides, it was shifted to Nerul from its original location. The nightclub has generally some good DJs playing a mix of house, trance, and Bollywood music.","Mar to June, October to November",3474.9
Bungee Jumping in Goa,goa,Adventure,4.2,"Located near one of the most popular beaches in Goa that is obviously Anjuna Beach, the Gravity Adventure Zone conduct Bungee Jumping from a height of 80 ft and has been installed by a US based company- Sports tower Inc.It is one of the lowest Bungee jumping site and is good for a first try and is priced at a reasonable rate.",March to June,3797.06
